,age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude
113,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-14T00:00:00+00:00,False,,White,Person search,,Article for use in theft,bu-no-further-action,A no further action disposal,51.596192,1319040,On or near Amesbury Close,-1.784284
114,18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-14T00:00:00+00:00,False,,Other,Person search,,Article for use in theft,bu-no-further-action,A no further action disposal,51.596192,1319040,On or near Amesbury Close,-1.784284
115,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-14T00:00:00+00:00,False,,White,Person search,,Article for use in theft,bu-no-further-action,A no further action disposal,51.596192,1319040,On or near Amesbury Close,-1.784284
116,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-15T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.462493,1315787,On or near Union Road,-2.117481
117,over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-15T00:00:00+00:00,False,,Other,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.564615,1317921,On or near Drake'S Way,-1.761509
118,10-17,A no further action disposal,True,White - Any other White background,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-15T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.574922,1318282,On or near Oxford Road,-1.741513
119,18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2021-12-15T00:00:00+00:00,True,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.255879,1312450,On or near Levell Court,-1.621588
120,18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2021-12-15T00:00:00+00:00,True,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.255879,1312450,On or near Levell Court,-1.621588
121,18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2021-12-15T00:00:00+00:00,True,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.255879,1312450,On or near Levell Court,-1.621588
122,10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-16T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.461156,1315894,On or near Parking Area,-2.115405
123,10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-16T00:00:00+00:00,False,,Other,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.461156,1315894,On or near Parking Area,-2.115405
124,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-16T00:00:00+00:00,False,,White,Person and Vehicle search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.376620,1314497,On or near Further/Higher Educational Building,-2.144616
125,18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-16T00:00:00+00:00,True,,Black,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.283170,1312769,On or near Prison,-2.042377
126,18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-16T00:00:00+00:00,True,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.283170,1312769,On or near Prison,-2.042377
127,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-16T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.554349,1309383,On or near Merrivale Grove,-1.767102
128,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-16T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.554349,1309383,On or near Merrivale Grove,-1.767102
129,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-16T00:00:00+00:00,True,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.565139,1317959,On or near Graham Street,-1.776496
130,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-16T00:00:00+00:00,False,,White,Person and Vehicle search,,Stolen goods,bu-no-further-action,A no further action disposal,51.596192,1319040,On or near Amesbury Close,-1.784284
131,over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2021-12-16T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.558909,1317177,On or near Regent Street,-1.781979
132,25-34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2021-12-17T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-community-resolution,Community resolution,51.069265,1310457,On or near Shopping Area,-1.793333
